Test_id,Friction Reducer,Form,Charge Density (%),TDS,Boron (B),Barium (Ba+2),Calcium (Ca+2),Iron (Fe+2),Potassium (K+),Magnesium (Mg+2),Manganese (Mn+2),Sodium (Na+),Strontium (Sr+2),Zinc (Zn+2),Fluoride (F⁻),Chlorides (Cl-),Nitrite (NO₂⁻),Bromide (Br⁻),Nitrate (NO₃⁻),Phosphate (PO₄³⁻),Sulfate (SO4-2),Bicarbonates (HCO3-),Carbonates (CO3-2),DR (R+),500,300,250,200,150,100,50,25,12.5,0,R^2
1,A,CO_ePAM,32,5876,6.00,0.30,385.50,0.00,54.90,89.10,0.10,1527.00,10.70,0.46,0.00,2855.00,0.00,26.20,0.00,0.00,904.70,17.00,0.00,0.17,2.447,1.725,1.470,1.328,0.899,0.595,0.293,0.139,0.050,0.000,0.9800
2,A,CO_ePAM,32,164384,25.70,4.40,8908.00,0.00,1082.00,940.40,0.00,54790.00,279.80,0.43,0.00,96414.00,0.00,419.40,0.00,0.00,1151.90,369.00,0.00,0.12,2.381,1.790,1.530,1.470,1.004,0.660,0.334,0.151,0.065,0.000,0.9500
3,A,CO_ePAM,32,89081,18.10,4.70,5255.00,0.00,469.80,549.30,0.00,25960.00,116.50,0.63,0.00,54754.00,0.00,280.10,0.00,0.00,1304.20,369.00,0.00,0.1,2.000,1.802,1.514,1.414,0.952,0.644,0.323,0.169,0.077,0.000,0.9600
4,B,ePAM,30,11774,42.50,0.00,115.20,15.00,67.30,20.90,0.70,39587.00,11.50,0.00,0.00,5518.50,0.00,154.80,0.00,0.00,593.60,1276.00,0.00,0.02,0.550,0.360,0.289,0.232,0.155,0.081,0.034,0.007,0.006,0.000,0.9900
5,B,ePAM,30,12993,36.40,0.00,158.80,12.70,55.70,25.80,0.70,44211.00,13.60,0.00,0.00,6381.40,0.00,180.40,0.00,0.00,549.50,1157.00,0.00,0.03,0.775,0.517,0.423,0.348,0.275,0.154,0.085,0.027,0.016,0.000,0.9900
6,B,ePAM,30,15031,39.60,0.00,199.40,16.60,58.40,28.80,0.80,50428.00,14.50,0.00,0.00,7647.50,0.00,216.00,0.00,0.00,592.00,1174.60,0.00,0.03,0.792,0.690,0.564,0.355,0.280,0.202,0.102,0.033,0.014,0.000,0.9400
7,C,Dry,30,12657,73.38,2.43,71.23,1.87,84.78,16.99,0.30,3937.40,3.67,0.00,0.00,6700.28,0.00,83.19,0.00,0.00,541.90,1140.00,0.00,0.01,2.126,1.335,1.155,0.917,0.655,0.433,0.214,0.098,0.042,0.007,0.9977
8,C,Dry,30,15812,59.40,0.89,164.30,0.42,86.14,27.48,0.50,5176.50,6.86,0.00,0.00,8373.38,0.00,125.94,0.00,0.00,739.07,1052.00,0.00,0.02,2.188,1.403,1.238,0.928,0.682,0.528,0.222,0.106,0.069,0.002,0.9953
9,C,Dry,30,102804,29.40,2.24,3259.00,0.16,299.80,587.00,2.26,32670.00,277.50,0.00,0.00,63614.48,0.00,242.35,0.00,0.00,1470.07,349.00,0.00,0.07,1.678,1.067,0.828,0.648,0.461,0.312,0.157,0.077,0.038,0.009,0.9976
10,C,Dry,30,13069,87.74,0.52,102.30,1.45,76.14,14.12,0.07,3934.20,1.53,0.00,0.00,6887.93,0.00,105.92,0.00,0.00,844.73,10133.00,0.00,0.02,2.131,1.390,1.121,0.881,0.660,0.418,0.193,0.084,0.030,0.002,0.9973
